Date,Open,High,Low,Close,Adj Close,Volume
2004-02-27,22.242500,23.125000,22.207500,22.625000,17.601994,11800608
2004-03-01,22.652500,23.120001,22.652500,22.987499,17.884014,5002880
2004-03-02,23.077499,23.187500,22.917500,23.107500,17.977377,5158464
2004-03-03,23.000000,23.094999,22.635000,22.662500,17.631166,4981392
2004-03-04,22.717501,22.850000,22.612499,22.834999,17.765368,4409408
2004-03-05,22.834999,23.437500,22.834999,23.375000,18.185484,9014608
2004-03-08,23.497499,23.497499,23.225000,23.350000,18.166037,4255232
2004-03-09,23.299999,23.447500,23.102501,23.125000,17.990993,7167760
2004-03-10,22.787500,23.075001,22.645000,22.934999,17.843172,6578368
2004-03-11,22.680000,23.055000,22.350000,22.799999,17.738138,9647040
2004-03-12,22.575001,22.760000,22.317499,22.650000,17.621441,5198768
2004-03-15,22.655001,23.219999,22.555000,22.870001,17.792601,10179200
2004-03-16,22.959999,23.125000,22.795000,22.837500,17.767313,5405136
2004-03-17,22.927500,23.157499,22.850000,23.075001,17.952091,6554912
2004-03-18,23.222500,23.500000,23.125000,23.465000,18.255507,9651216
2004-03-19,23.500000,23.850000,23.500000,23.752501,18.479172,16093440
2004-03-22,23.527500,23.672501,23.125000,23.322500,18.144640,7314272
2004-03-23,23.205000,23.420000,23.055000,23.184999,18.037664,5230544
2004-03-24,23.250000,23.327499,22.469999,22.652500,17.623390,8124016
2004-03-25,22.722500,22.875000,22.600000,22.875000,17.796490,6994576
2004-03-26,22.997499,23.282499,22.700001,23.212500,18.059059,4514352
2004-03-29,23.325001,23.545000,23.200001,23.522499,18.300236,3650080
2004-03-30,23.559999,23.687500,23.422501,23.587500,18.350807,4086224
2004-03-31,23.557501,23.725000,23.512501,23.660000,18.407213,3542256
2004-04-01,23.750000,24.160000,23.652500,24.112499,18.759251,5541328
2004-04-02,24.115000,24.344999,23.764999,24.250000,18.866224,7140048
2004-04-05,24.379999,24.677500,24.254999,24.510000,19.068502,7307488
2004-04-06,24.520000,24.625000,24.322500,24.422501,19.000429,3043344
2004-04-07,24.344999,25.000000,24.225000,25.000000,19.449718,8712544
2004-04-08,25.012501,25.357500,24.502501,24.532499,19.086006,7722032
2004-04-09,24.532499,24.532499,24.532499,24.532499,19.086006,0
2004-04-12,24.532499,24.532499,24.532499,24.532499,19.086006,0
2004-04-13,24.594999,25.000000,24.567499,24.775000,19.274668,6060528
2004-04-14,24.625000,24.852501,24.450001,24.852501,19.334963,5952864
2004-04-15,24.862499,25.342501,24.627501,25.037500,19.478891,9240240
2004-04-16,25.014999,25.075001,24.812500,25.000000,19.449718,5366848
2004-04-19,24.892500,25.347500,24.762501,25.152500,19.568357,3754752
2004-04-20,25.215000,25.322500,25.077499,25.250000,19.644213,5327840
2004-04-21,24.897499,25.405001,24.887501,25.270000,19.659773,4344976
2004-04-22,25.200001,25.362499,24.750000,24.937500,19.401091,6826832
2004-04-23,25.000000,25.000000,24.575001,24.840000,19.325245,10188000
2004-04-26,24.752501,25.327499,24.612499,25.042500,19.482780,6871776
2004-04-27,24.972500,25.125000,24.594999,24.625000,19.157972,7113872
2004-04-28,24.790001,24.790001,24.152500,24.192499,18.821487,10320224
2004-04-29,24.309999,24.457500,24.084999,24.160000,18.796211,6229792
2004-04-30,24.125000,24.495001,24.049999,24.084999,18.737858,3615216
2004-05-03,24.275000,24.402500,23.959999,24.205000,18.831215,2224272
2004-05-04,23.967501,24.580000,23.959999,24.412500,18.992647,6603360
2004-05-05,25.000000,25.075001,24.627501,25.075001,19.508064,12854208
2004-05-06,25.125000,25.122499,24.617500,24.750000,19.255219,2310732
2004-05-07,24.674999,25.037500,23.787500,24.049999,18.710625,13456384
2004-05-10,23.514999,23.762501,23.002501,23.517500,18.296350,12410544
2004-05-11,23.632500,23.985001,23.502501,23.900000,18.593929,6840768
2004-05-12,23.969999,24.070000,23.655001,23.812500,18.525852,6088336
2004-05-13,23.924999,24.057501,23.377501,23.745001,18.473343,5557536
2004-05-14,23.510000,23.642500,23.002501,23.197500,18.239426,4984064
2004-05-17,23.000000,23.162500,22.797501,23.040001,18.115585,6317056
2004-05-18,23.127501,23.362499,22.965000,23.299999,18.320017,4644912
2004-05-19,23.385000,23.472500,23.290001,23.372499,18.377022,5768736
2004-05-20,23.165001,23.357500,23.072500,23.137501,18.192249,2440656
2004-05-21,23.299999,23.427500,23.142500,23.215000,18.253187,4684000
2004-05-24,23.254999,23.852501,23.254999,23.389999,18.390779,4696192
2004-05-25,23.254999,23.450001,23.125000,23.305000,18.323952,3301744
2004-05-26,23.655001,23.727501,23.500000,23.600000,18.555899,5036736
2004-05-27,23.687500,24.250000,23.570000,24.250000,19.066971,6797408
2004-05-28,24.487499,24.719999,24.147499,24.147499,18.986383,6897520
2004-05-31,24.157499,24.437500,24.129999,24.424999,19.204567,722880
2004-06-01,24.527500,24.592501,24.250000,24.382500,19.171156,4809600
2004-06-02,24.535000,24.592501,24.312500,24.487499,19.253710,5558752
2004-06-03,24.500000,24.674999,24.387501,24.645000,19.377548,4126704
2004-06-04,24.645000,24.722500,24.575001,24.657499,19.387375,3343424
2004-06-07,24.837500,25.055000,24.647499,24.900000,19.578043,4685232
2004-06-08,25.000000,25.100000,24.525000,24.575001,19.322506,8186992
2004-06-09,24.700001,24.712500,24.525000,24.525000,19.283194,3466592
2004-06-10,24.475000,24.672501,24.434999,24.520000,19.279266,2735200
2004-06-11,24.592501,24.695000,24.415001,24.600000,19.342163,2149040
2004-06-14,24.527500,24.607500,24.120001,24.120001,18.964756,3552960
2004-06-15,24.062500,24.637501,24.062500,24.500000,19.263538,4156416
2004-06-16,24.410000,24.905001,24.290001,24.695000,19.416861,7194352
2004-06-17,24.709999,24.822500,24.580000,24.695000,19.416861,6464880
2004-06-18,24.750000,24.750000,24.402500,24.562500,19.312679,7432480
2004-06-21,24.787500,24.787500,24.467501,24.605000,19.346096,2787296
2004-06-22,24.565001,24.645000,24.295000,24.295000,19.102352,4680192
2004-06-23,24.512501,24.547501,24.174999,24.252501,19.068935,4232448
2004-06-24,24.424999,24.684999,24.327499,24.625000,19.361820,7776176
2004-06-25,24.750000,24.907499,24.575001,24.697500,19.418825,6647776
2004-06-28,24.830000,25.075001,24.674999,24.972500,19.635048,4462592
2004-06-29,24.975000,25.075001,24.834999,24.840000,19.530872,4811504
2004-06-30,24.985001,24.985001,24.487499,24.532499,19.289089,6254624
2004-07-01,24.777500,25.000000,24.632500,24.700001,19.420794,6656832
2004-07-02,24.627501,24.920000,24.552500,24.650000,19.381475,3601776
2004-07-05,24.700001,24.832500,24.514999,24.637501,19.371651,1372112
2004-07-06,24.545000,24.745001,24.440001,24.647499,19.379511,3711200
2004-07-07,24.549999,24.637501,24.162500,24.410000,19.192772,5981136
2004-07-08,24.372499,24.485001,24.280001,24.450001,19.224232,4571232
2004-07-09,24.287500,24.785000,24.287500,24.622499,19.359854,4645152
2004-07-12,24.525000,24.690001,24.400000,24.549999,19.302853,2330480
2004-07-13,24.702499,24.747499,24.502501,24.725000,19.440449,4373232
2004-07-14,24.549999,24.782499,24.437500,24.782499,19.485661,5309248
2004-07-15,24.637501,24.775000,24.430000,24.512501,19.273367,6945952
2004-07-16,24.587500,24.834999,24.402500,24.545000,19.298920,6133280
2004-07-19,24.424999,24.615000,24.312500,24.357500,19.151493,2894656
2004-07-20,24.139999,24.424999,24.027500,24.400000,19.184914,4453744
2004-07-21,24.512501,24.514999,24.125000,24.215000,19.039454,5423808
2004-07-22,23.877501,24.100000,23.787500,23.790001,18.705290,6176128
2004-07-23,23.940001,23.940001,23.537500,23.645000,18.591278,5226160
2004-07-26,23.352501,23.822500,23.299999,23.490000,18.469410,4507440
2004-07-27,23.615000,24.132500,23.440001,23.992500,18.864510,6005984
2004-07-28,24.247499,24.247499,23.975000,24.135000,18.976549,4859872
2004-07-29,24.077499,24.490000,23.917500,24.490000,19.255678,6524944
2004-07-30,24.572500,24.767500,23.877501,24.697500,19.418825,8497744
2004-08-02,24.635000,24.635000,24.337500,24.500000,19.263538,3791616
2004-08-03,24.660000,25.247499,24.514999,25.052500,19.697950,7735760
2004-08-04,25.312500,26.297501,25.312500,26.285000,20.667027,21321328
2004-08-05,26.290001,27.049999,26.290001,26.722500,21.011013,16593152
2004-08-06,26.072500,26.492500,25.525000,26.197500,20.598228,8648608
2004-08-09,26.337500,26.975000,25.942499,26.290001,20.670959,6904288
2004-08-10,26.355000,26.834999,26.100000,26.700001,20.993324,6490672
2004-08-11,26.850000,26.850000,26.287500,26.549999,20.875383,6615616
2004-08-12,26.500000,26.737499,25.815001,25.950001,20.403625,8493248
2004-08-13,25.799999,25.887501,25.535000,25.632500,20.153984,7551088
2004-08-16,25.527500,26.415001,25.504999,26.350000,20.718136,5650544
2004-08-17,26.202499,26.745001,26.155001,26.610001,20.922562,6320432
2004-08-18,26.635000,26.657499,26.287500,26.625000,20.934357,4571984
2004-08-19,26.622499,26.622499,26.299999,26.512501,20.845901,8139120
2004-08-20,26.350000,26.422501,26.070000,26.247499,20.637539,6160432
2004-08-23,26.340000,26.594999,26.252501,26.512501,20.845901,4714192
2004-08-24,26.475000,26.500000,26.087500,26.250000,20.639505,7390480
2004-08-25,26.375000,26.375000,26.102501,26.290001,20.670959,3147520
2004-08-26,26.487499,26.487499,26.217501,26.362499,20.727957,5006560
